"Account","Date","Type","Narrative","Value Date","Payments","Receipts","Balance"
"210999-40010000 (GBP)",31MAY13,"","Opening Ledger Balance",,,,30000
"210999-40010000 (GBP)",31MAY13,"BGC","AXELOR  56465463    BGC
5656546456 30/05","","",20000,50000
"210999-40010000 (GBP)",31MAY13,"CR","ARGOS
INVOICES PAID","","",10000,60000
"210999-40010000 (GBP)",31MAY13,"DR","DEBANHAMS 
EUROS       307.70","",2000,"",58000
"210999-40010000 (GBP)",31MAY13,"DR","HOTEL HILTON PARKLANE","",2000,"",56000
"210999-40010000 (GBP)",31MAY13,"DR","TO 30999999999999     TFR","",6000,"",50000
"210999-40010000 (GBP)",21JUN13,"","Value of Credits (96)","","",30000,
"210999-40010000 (GBP)",21JUN13,"","Value of Debits (43)","",10000,,
"210999-40010000 (GBP)",21JUN13,"","Closing Ledger Balance","","","",50000
"210999-40010000 (GBP)",21JUN13,"","Closing Cleared Balance","","","",50000
